id_operacao,id_cooperativa,id_cliente,linha_credito,cultura,valor_operacao,data_contratacao,data_vencimento,taxa_juros,status,dias_atraso,regiao,estado
60,1,850,Pronamp,Milho,224634.7910674327,2023-08-05 01:55:22.165301,2025-10-22 01:55:22.202282,8.322048620792001,Ativo,0,Centro-Oeste,BA
61,35,522,Custeio,Café,308132.72924959444,2024-06-17 01:55:22.165305,2025-09-23 01:55:22.202285,7.9459163251848866,Ativo,0,Norte,PR
62,11,1434,Investimento,Soja,303429.43765533593,2024-11-01 01:55:22.165309,2026-01-17 01:55:22.202288,8.733176454937913,Liquidado,0,Centro-Oeste,MT
63,18,4011,Pronaf,Milho,292932.62059634883,2024-11-16 01:55:22.165312,2025-11-25 01:55:22.202292,7.064296661976539,Liquidado,0,Centro-Oeste,MT
64,9,1117,Investimento,Soja,255543.21623268316,2024-10-10 01:55:22.165316,2026-01-12 01:55:22.202295,10.109975965983395,Ativo,0,Norte,SP
65,14,4124,Comercialização,Café,277424.8865491911,2024-11-08 01:55:22.165319,2026-03-12 01:55:22.202298,5.654824859346812,Ativo,0,Sul,GO
66,43,1573,Pronaf,Algodão,215711.57112423165,2025-01-12 01:55:22.165323,2026-01-02 01:55:22.202303,12.378981060496457,Ativo,0,Sudeste,BA
67,31,3675,Custeio,Café,419659.8395207325,2024-12-12 01:55:22.165327,2026-06-12 01:55:22.202306,9.135160478713154,Liquidado,0,Norte,GO
68,18,1716,Comercialização,Café,170415.06084575097,2023-11-08 01:55:22.165330,2026-07-09 01:55:22.202310,8.867406039998409,Liquidado,0,Sul,MT
69,5,73,Pronamp,Soja,278656.148928613,2024-08-06 01:55:22.165334,2026-03-30 01:55:22.202314,10.319033101586978,Ativo,0,Norte,MT
70,41,1379,Custeio,Café,201123.78895111763,2023-11-30 01:55:22.165337,2026-04-16 01:55:22.202317,7.258908927454943,Ativo,0,Sudeste,BA
71,28,280,Comercialização,Milho,162124.07122497458,2025-07-03 01:55:22.165341,2026-01-15 01:55:22.202321,6.67922318963042,Vencido,105,Norte,RS
72,28,387,Pronaf,Algodão,233764.01771346174,2025-04-19 01:55:22.165344,2026-03-01 01:55:22.202324,10.160012367571351,Ativo,0,Norte,GO
73,20,4543,Custeio,Milho,267269.12884132605,2023-09-02 01:55:22.165348,2026-07-01 01:55:22.202327,10.663085143488782,Liquidado,0,Nordeste,MG
74,15,2880,Comercialização,Milho,300245.09896114684,2024-07-28 01:55:22.165351,2026-06-17 01:55:22.202331,10.221641904229458,Ativo,0,Nordeste,MG
75,1,815,Pronamp,Cana-de-açúcar,392704.6446793426,2024-09-03 01:55:22.165354,2026-02-11 01:55:22.202334,7.607053398064363,Ativo,0,Centro-Oeste,PR
76,14,1910,Pronamp,Café,237829.05654563362,2024-01-06 01:55:22.165358,2026-03-06 01:55:22.202338,10.340173715570035,Ativo,0,Norte,MT
77,13,3977,Custeio,Milho,308895.5159347446,2024-08-04 01:55:22.165361,2026-04-06 01:55:22.202341,11.141587624070958,Ativo,0,Norte,BA
78,43,4051,Investimento,Milho,305243.16127158096,2025-03-29 01:55:22.165366,2025-12-22 01:55:22.202346,7.66593715040265,Ativo,0,Nordeste,RS
79,4,2379,Investimento,Café,147237.50116107584,2023-07-20 01:55:22.165370,2025-08-14 01:55:22.202349,5.827223998637837,Ativo,0,Sudeste,MG
80,7,144,Custeio,Soja,319636.74748547043,2024-05-06 01:55:22.165378,2025-08-10 01:55:22.202352,10.922495394066004,Ativo,0,Centro-Oeste,GO
81,4,2032,Pronamp,Cana-de-açúcar,367830.1375732178,2023-09-05 01:55:22.165382,2026-04-05 01:55:22.202356,9.694501333147564,Liquidado,0,Sudeste,GO
82,21,105,Investimento,Algodão,329762.0488720282,2025-01-25 01:55:22.165386,2025-12-21 01:55:22.202359,5.6390095077102,Ativo,0,Sudeste,BA
83,16,1900,Pronamp,Café,234263.08609281905,2024-04-30 01:55:22.165390,2026-04-11 01:55:22.202369,6.70024742509681,Vencido,155,Nordeste,BA
84,11,4927,Investimento,Cana-de-açúcar,289082.39559166227,2023-08-19 01:55:22.165393,2026-01-26 01:55:22.202373,5.786806477933444,Ativo,0,Centro-Oeste,SP
85,24,4346,Comercialização,Café,259572.92162455185,2025-03-08 01:55:22.165397,2025-10-28 01:55:22.202376,7.71475740275655,Ativo,0,Norte,MT
86,48,813,Comercialização,Café,205119.40103661583,2024-08-02 01:55:22.165400,2025-10-19 01:55:22.202380,9.420966164731844,Liquidado,0,Sudeste,RS
87,4,1994,Comercialização,Algodão,379927.9813909696,2025-01-17 01:55:22.165404,2025-08-21 01:55:22.202383,6.534011381443072,Liquidado,0,Nordeste,BA
88,42,553,Pronamp,Cana-de-açúcar,323067.84222495893,2024-02-07 01:55:22.165407,2026-05-01 01:55:22.202386,5.922004396529054,Vencido,149,Nordeste,BA
89,49,522,Comercialização,Soja,127492.60643309183,2023-11-08 01:55:22.165411,2026-06-04 01:55:22.202390,11.125471156075752,Ativo,0,Sul,MT
90,44,4863,Comercialização,Algodão,349768.15456671413,2024-07-23 01:55:22.165414,2026-03-01 01:55:22.202393,7.684024338279151,Ativo,0,Sul,RS
91,37,4279,Comercialização,Algodão,240928.3176169037,2024-12-26 01:55:22.165418,2026-04-13 01:55:22.202397,6.095595922324439,Ativo,0,Sul,SP
92,6,4599,Pronamp,Café,268017.5833948651,2024-12-14 01:55:22.165421,2025-08-19 01:55:22.202400,9.87908614968785,Liquidado,0,Sudeste,GO
93,8,2693,Investimento,Café,470291.64675912564,2023-12-27 01:55:22.165425,2026-06-01 01:55:22.202404,6.48770105208412,Vencido,28,Sudeste,BA
94,39,4712,Investimento,Café,230108.96866552305,2024-11-15 01:55:22.165429,2025-12-24 01:55:22.202408,8.43974744151462,Ativo,0,Sudeste,RS
95,23,4932,Pronaf,Soja,364907.1202313182,2023-11-27 01:55:22.165433,2026-04-10 01:55:22.202412,6.190457527856912,Ativo,0,Norte,MT
96,31,2847,Custeio,Soja,361953.4088424819,2023-10-20 01:55:22.165437,2026-04-06 01:55:22.202416,6.1383434325751125,Ativo,0,Norte,RS
97,35,1181,Custeio,Algodão,244876.29557361832,2024-12-25 01:55:22.165440,2026-06-02 01:55:22.202419,9.118187807464222,Liquidado,0,Sul,MG
98,43,465,Investimento,Cana-de-açúcar,290859.72175376717,2024-06-14 01:55:22.165444,2026-03-03 01:55:22.202423,7.300976027543498,Ativo,0,Sudeste,GO
99,21,3176,Pronamp,Café,100165.77473970049,2024-01-13 01:55:22.165447,2025-11-04 01:55:22.202426,6.368873127692645,Ativo,0,Norte,BA
100,32,1849,Pronamp,Algodão,265086.69836185954,2024-12-08 01:55:22.165451,2026-03-01 01:55:22.202429,8.779409832411881,Liquidado,0,Norte,GO
101,46,1116,Pronaf,Café,371305.09798162343,2025-02-18 01:55:22.165454,2026-06-28 01:55:22.202433,5.521692359691501,Ativo,0,Norte,GO
102,13,260,Comercialização,Soja,205457.9260112343,2025-05-11 01:55:22.165458,2025-08-26 01:55:22.202436,12.973730621388178,Ativo,0,Centro-Oeste,BA
103,34,403,Custeio,Café,235022.98362029679,2023-08-08 01:55:22.165461,2025-12-10 01:55:22.202440,8.497198851614591,Ativo,0,Sudeste,RS
104,39,362,Comercialização,Algodão,112933.39653808766,2023-08-14 01:55:22.165465,2026-03-18 01:55:22.202443,10.914649549207137,Vencido,51,Sul,SP
105,43,4257,Custeio,Milho,205057.9940646721,2025-06-02 01:55:22.165468,2026-06-18 01:55:22.202446,8.169894374525372,Ativo,0,Nordeste,MT
106,23,4523,Pronaf,Milho,251425.9590732043,2023-11-15 01:55:22.165472,2025-11-08 01:55:22.202450,7.504512521221739,Ativo,0,Centro-Oeste,GO
107,1,423,Custeio,Cana-de-açúcar,296337.7267396431,2025-04-30 01:55:22.165475,2025-11-21 01:55:22.202453,8.588481201002946,Vencido,19,Norte,BA
108,35,4386,Custeio,Algodão,323376.55535231414,2025-05-13 01:55:22.165479,2025-09-01 01:55:22.202457,12.002542740944692,Ativo,0,Norte,SP
109,20,48,Investimento,Café,289827.2613241579,2024-08-21 01:55:22.165482,2026-01-13 01:55:22.202460,6.749329991839761,Ativo,0,Centro-Oeste,PR
110,5,3433,Pronamp,Soja,165602.54199887006,2023-08-25 01:55:22.165489,2026-02-28 01:55:22.202464,7.356432912398464,Vencido,165,Norte,PR
111,5,744,Custeio,Soja,203619.78292112192,2024-07-15 01:55:22.165493,2026-06-29 01:55:22.202468,8.781073552102152,Liquidado,0,Sul,GO
112,36,4818,Custeio,Café,278239.9774848083,2025-04-15 01:55:22.165497,2026-06-13 01:55:22.202472,8.677868402720597,Ativo,0,Centro-Oeste,RS
113,24,4029,Custeio,Algodão,162029.5975397048,2024-05-10 01:55:22.165500,2026-05-29 01:55:22.202476,8.059466705083508,Liquidado,0,Sudeste,GO
114,10,2367,Custeio,Algodão,380909.5622551399,2023-12-06 01:55:22.165504,2026-03-02 01:55:22.202479,6.268638614509013,Ativo,0,Centro-Oeste,SP
115,49,1752,Pronamp,Café,111667.44771439949,2023-11-11 01:55:22.165508,2025-09-30 01:55:22.202483,5.101559721053194,Ativo,0,Norte,SP
116,49,1866,Custeio,Milho,396899.0357197031,2024-09-19 01:55:22.165511,2026-06-25 01:55:22.202486,7.21942615103411,Ativo,0,Sul,RS
117,22,2322,Investimento,Soja,168474.41777317855,2025-06-30 01:55:22.165515,2025-12-22 01:55:22.202490,8.317453352427675,Ativo,0,Sudeste,RS
118,26,812,Pronamp,Cana-de-açúcar,165422.41987548475,2024-12-09 01:55:22.165518,2026-01-13 01:55:22.202493,9.521088065131316,Ativo,0,Centro-Oeste,GO
119,7,828,Custeio,Cana-de-açúcar,221708.01976840402,2024-12-27 01:55:22.165522,2025-08-27 01:55:22.202497,6.208968505935669,Ativo,0,Nordeste,RS
120,38,3313,Pronamp,Café,316574.2382824641,2024-10-24 01:55:22.165525,2026-05-06 01:55:22.202501,8.513767898518457,Vencido,50,Norte,BA
121,39,591,Custeio,Milho,360990.37075919914,2024-09-06 01:55:22.165529,2025-11-21 01:55:22.202504,9.232442230699037,Ativo,0,Nordeste,GO
122,40,7,Pronamp,Cana-de-açúcar,279165.83887616603,2024-07-03 01:55:22.165532,2025-12-07 01:55:22.202508,9.252141548906668,Ativo,0,Sul,BA
123,44,1214,Investimento,Algodão,156633.4124991559,2024-04-06 01:55:22.165536,2026-05-24 01:55:22.202511,7.488129747156217,Liquidado,0,Centro-Oeste,RS
124,31,419,Pronamp,Soja,137746.06135745352,2025-01-24 01:55:22.165540,2025-11-25 01:55:22.202515,7.897666452920238,Ativo,0,Centro-Oeste,BA
125,31,4119,Pronamp,Café,250936.93921872816,2024-02-10 01:55:22.165543,2025-11-09 01:55:22.202519,10.956651768024999,Ativo,0,Sul,RS
126,3,1072,Pronamp,Algodão,186246.03164306813,2024-07-23 01:55:22.165547,2026-01-23 01:55:22.202522,8.901101300131462,Ativo,0,Sudeste,MT
127,25,715,Comercialização,Cana-de-açúcar,203532.88173466356,2023-11-14 01:55:22.165550,2025-11-02 01:55:22.202525,8.823368804619165,Ativo,0,Nordeste,PR
128,18,948,Comercialização,Café,342200.662527634,2024-07-04 01:55:22.165554,2026-05-25 01:55:22.202529,9.701976354458353,Ativo,0,Sul,SP
129,46,4623,Custeio,Soja,422876.3554150951,2024-03-07 01:55:22.165557,2026-03-19 01:55:22.202532,7.032650571725906,Vencido,121,Nordeste,BA
130,38,4451,Pronaf,Cana-de-açúcar,332234.33551246335,2023-09-06 01:55:22.165561,2026-04-29 01:55:22.202537,8.035411348834902,Liquidado,0,Nordeste,BA
131,26,4435,Comercialização,Algodão,398065.8422024037,2025-02-02 01:55:22.165565,2026-04-09 01:55:22.202540,10.71003868349715,Ativo,0,Sul,GO
132,46,1285,Investimento,Algodão,278366.08760664694,2023-10-12 01:55:22.165569,2026-01-07 01:55:22.202544,11.04196889376708,Ativo,0,Sul,SP
133,36,283,Pronamp,Café,249997.68468073828,2023-08-26 01:55:22.165572,2025-09-25 01:55:22.202547,9.200147898737432,Ativo,0,Sudeste,BA
134,17,2887,Comercialização,Café,219860.79153643738,2025-06-18 01:55:22.165576,2026-03-06 01:55:22.202551,7.567195912041062,Ativo,0,Centro-Oeste,MG
135,13,2242,Comercialização,Cana-de-açúcar,389070.37466040626,2024-07-12 01:55:22.165579,2025-11-09 01:55:22.202554,10.272650892471205,Ativo,0,Centro-Oeste,BA
136,23,1257,Investimento,Milho,181005.75089000727,2023-07-26 01:55:22.165583,2026-01-05 01:55:22.202558,8.778311394709688,Ativo,0,Centro-Oeste,BA
137,19,2991,Comercialização,Cana-de-açúcar,105241.03243578694,2024-05-02 01:55:22.165586,2026-06-14 01:55:22.202561,10.195027262743857,Ativo,0,Nordeste,GO
138,46,3860,Comercialização,Soja,310095.50622875756,2024-05-29 01:55:22.165590,2026-02-04 01:55:22.202564,8.031733652144299,Ativo,0,Sudeste,MG
139,45,476,Comercialização,Soja,75424.25430623174,2024-07-28 01:55:22.165593,2025-09-17 01:55:22.202568,9.819765233441407,Ativo,0,Nordeste,SP
140,4,1913,Investimento,Milho,373951.5540174993,2024-02-04 01:55:22.165597,2025-10-24 01:55:22.202571,7.475196258466729,Liquidado,0,Sul,GO
141,29,297,Custeio,Algodão,289578.0845923793,2024-01-21 01:55:22.165600,2026-03-04 01:55:22.202575,12.639582842003865,Vencido,177,Nordeste,MT
142,32,975,Custeio,Milho,263916.6263226527,2023-11-07 01:55:22.165603,2026-06-26 01:55:22.202578,9.540404733897407,Ativo,0,Sul,MG
143,21,3117,Investimento,Soja,196749.81239010973,2024-09-19 01:55:22.165607,2026-03-30 01:55:22.202581,8.647549713324246,Ativo,0,Sul,GO
144,11,3955,Custeio,Algodão,84737.71239221763,2024-12-17 01:55:22.165610,2026-01-13 01:55:22.202585,7.179304482529436,Ativo,0,Norte,GO
145,9,3885,Pronaf,Soja,423830.42919829657,2025-02-15 01:55:22.165614,2026-05-19 01:55:22.202588,11.06415048857478,Ativo,0,Sudeste,BA
146,26,456,Pronamp,Soja,169278.64116789884,2024-03-01 01:55:22.165618,2025-09-02 01:55:22.202592,7.062977378280941,Ativo,0,Sul,RS
147,9,2348,Investimento,Soja,283670.2940241366,2024-01-27 01:55:22.165621,2026-01-06 01:55:22.202595,3.9393164024161873,Ativo,0,Norte,PR
148,31,2758,Investimento,Café,365437.66205603885,2024-12-03 01:55:22.165624,2026-04-29 01:55:22.202598,7.939314650991815,Ativo,0,Sul,MG
149,13,1094,Pronaf,Milho,326401.02075042424,2023-11-22 01:55:22.165628,2026-02-11 01:55:22.202602,8.103942197398204,Liquidado,0,Sudeste,BA
150,19,884,Custeio,Café,212430.69700631127,2024-10-17 01:55:22.165632,2025-12-04 01:55:22.202606,9.375432160893759,Ativo,0,Sudeste,BA
151,30,4883,Investimento,Cana-de-açúcar,155333.34491564508,2023-10-31 01:55:22.165636,2025-10-06 01:55:22.202610,9.600711379258854,Ativo,0,Sul,RS
152,29,502,Investimento,Milho,402773.03007308,2024-10-09 01:55:22.165639,2026-01-14 01:55:22.202613,10.941473474162823,Ativo,0,Nordeste,MG
153,45,3732,Pronaf,Cana-de-açúcar,208419.7754987552,2024-01-25 01:55:22.165643,2025-11-09 01:55:22.202617,7.2303193152154765,Ativo,0,Centro-Oeste,RS
154,1,2693,Pronamp,Cana-de-açúcar,222339.90098369253,2024-04-15 01:55:22.165646,2026-05-07 01:55:22.202620,9.853757515953458,Ativo,0,Centro-Oeste,GO
155,10,1035,Pronamp,Algodão,278694.17006887234,2023-08-18 01:55:22.165650,2026-01-24 01:55:22.202624,9.154932064535947,Ativo,0,Norte,RS
156,41,1693,Comercialização,Milho,432602.8974651743,2023-10-28 01:55:22.165653,2026-03-04 01:55:22.202627,8.435808353988936,Ativo,0,Sudeste,GO
157,29,3383,Pronaf,Milho,281908.5257999265,2025-05-10 01:55:22.165657,2026-01-27 01:55:22.202630,11.70305900340852,Liquidado,0,Nordeste,PR
158,3,2707,Investimento,Milho,163259.98504518898,2025-04-07 01:55:22.165660,2025-11-27 01:55:22.202634,8.564525601405016,Liquidado,0,Sudeste,RS
159,17,4000,Pronamp,Milho,286023.7870808025,2024-08-02 01:55:22.165664,2026-05-09 01:55:22.202637,6.700166262243233,Ativo,0,Centro-Oeste,SP
160,6,4838,Custeio,Café,283244.7688960088,2023-08-03 01:55:22.165667,2026-02-09 01:55:22.202641,10.24009628783267,Ativo,0,Centro-Oeste,MT
161,27,2527,Comercialização,Cana-de-açúcar,284323.9221499738,2024-08-12 01:55:22.165671,2025-10-18 01:55:22.202644,10.28090657450977,Vencido,27,Norte,SP
162,35,1620,Investimento,Café,233033.86331070898,2025-06-12 01:55:22.165674,2025-09-29 01:55:22.202647,7.678906870973217,Ativo,0,Sudeste,GO
163,4,3350,Comercialização,Café,165258.1555018411,2024-07-09 01:55:22.165678,2026-02-12 01:55:22.202650,11.82504499327034,Ativo,0,Centro-Oeste,MG
164,31,1765,Pronamp,Soja,268936.5603168353,2024-08-31 01:55:22.165681,2026-06-30 01:55:22.202654,11.065550142546087,Ativo,0,Sudeste,PR
165,15,4741,Investimento,Café,12690.610091403942,2024-03-08 01:55:22.165686,2025-08-26 01:55:22.202657,10.712324795063537,Ativo,0,Nordeste,BA
166,14,327,Pronamp,Milho,83907.7002398108,2024-08-28 01:55:22.165690,2026-03-18 01:55:22.202661,8.769983551073121,Ativo,0,Sul,RS
167,21,2516,Comercialização,Soja,307241.4307247623,2024-06-27 01:55:22.165694,2026-07-05 01:55:22.202664,8.83350820679689,Vencido,168,Sul,PR
168,2,4519,Custeio,Milho,149393.37679238207,2023-10-13 01:55:22.165697,2025-12-06 01:55:22.202667,8.833717188829068,Ativo,0,Sul,RS
169,15,1503,Custeio,Milho,282487.5650197724,2025-02-06 01:55:22.165701,2025-08-11 01:55:22.202671,12.343122416946443,Ativo,0,Norte,GO
170,34,2409,Pronamp,Cana-de-açúcar,239921.35743343143,2023-12-27 01:55:22.165704,2026-01-25 01:55:22.202674,12.564223398681797,Ativo,0,Nordeste,BA
